"","C","N","P","Na","Mg","S","K","Ca"
"max",54.8329844258143,7.86282384065636,9054.59685090985,698.932725348197,2283.95740439773,3242.91611618365,28263.1176259627,951.144929703552
"min",48.5121310637458,6.63436401422848,6264.00919391163,364.484254454825,2084.28660289345,2704.58202419617,23223.9428788608,689.625071399873
"IR_0.4",49.6349262699976,7.62855018208933,8558.0695655863,635.187896936391,2230.29830981647,3136.68528854048,27541.6754277135,894.526088388085
"IR_0.8",52.6052355444731,7.02280505959169,7241.36961706815,475.371915940524,2118.95871593372,2875.33734695761,25498.2205939639,761.51779468856
"IR_1.2",55.3989459120814,6.53958644843223,6014.92345154292,336.650607175483,2076.88782836495,2662.02148168966,22603.5357852848,672.212709622527
