"","equation","n","R_squared","F_stat","p_value"
"1","13C tf  =  -2.2 x mean_growth_dw + -1.5247",48,0.39,29,"p<0.01"
"2","15N tf  =  4.3 x mean_growth_dw + -0.42194",48,0.74,130,"p<0.01"
"3","13C fldf  =  -2.3 x assimilation_efficiency_dw + 4.9612",48,0.14,7.4,"p<0.01"
"4","15N fldf  =  9.8 x assimilation_efficiency_dw + -5.9385",48,0.44,36,"p<0.01"
"5","13C iaer  =  -0.6 x mean_mass_specific_intake_rate_fw + -0.97754",50,0.17,9.7,"p<0.01"
"6","15N iaer  =  0.023 x mean_mass_specific_intake_rate_fw + -0.12385",50,0.00017,0.008,"p=0.93"
