"","C","N","P","Na","Mg","S","K","Ca"
"max",44.8590670334989,4.2468508911377,5562.83234443509,436.181615756998,1068.78566574112,2347.60081881439,3475.33685422577,1156.99362377056
"min",42.9911597071866,3.44211773918789,5010.87094304503,196.892532830116,762.638854616095,2062.84594660161,883.789780980959,1097.6777431017
"IR_0.4",43.3124609939185,3.58590571206168,5079.46146724212,229.185393888417,816.388495294813,2117.37584360674,1281.21920323001,1121.32536948619
"IR_0.8",44.1569257220911,3.9724942884437,5338.53347416193,333.116956165861,960.385613800542,2258.6744596647,2519.84268320034,1156.1448949728
"IR_1.2",45.041674113653,4.31619740946324,5619.43192900784,463.475111942621,1096.81838711485,2369.16776553688,3712.7839366075,1154.7793428786
