"","C","N","P","Na","Mg","S","K","Ca"
"max",56.4868820516397,7.72199420850545,8939.3296118231,677.149250751762,2220.65365969342,3198.29585946358,28874.7005666429,913.030581137757
"min",48.5754463517906,6.4624575042429,5676.16054993924,294.532131257141,2068.48747766413,2593.4169185089,21620.9423007613,643.330220582124
"IR_0.4",49.6195209393791,7.55577276464279,8508.68819327714,626.655152537921,2200.57224213855,3118.46980073314,27917.4198710465,877.43814211623
"IR_0.8",52.5949806126873,7.08206599222269,7281.42321645285,482.754367324527,2143.34314296531,2890.97722361742,25189.3100792337,776.004903301529
"IR_1.2",55.5704402859954,6.6083592198026,6054.15823962857,338.853582111134,2086.11404379206,2663.4846465017,22461.2002874208,674.571664486828
