"","C","N","P","Na","Mg","S","K","Ca"
"max",56.4868820513294,7.91236387743741,9081.06960602553,746.835924229557,2337.4150848227,3297.10401138058,28831.8157741487,988.980588137955
"min",48.5754463516406,6.90216571668281,6457.94127783342,379.110841244036,2091.0406578426,2757.21351548375,16095.8191770485,738.524531405782
"IR_0.4",49.6195209393537,7.60731408720025,8671.86894596941,619.823717618821,2225.31268004377,3149.50676582175,27061.4254691163,900.09946537998
"IR_0.8",52.5949806127256,6.95419631975963,7344.8005756957,487.510849286446,2098.88717256497,2891.40087954218,26503.9969578,743.002879198697
"IR_1.2",55.5704402857768,7.05483548330827,6498.34514382549,432.477189124408,2263.32784245727,2828.96072500796,19154.1333379487,805.487915215033
