"","formula","n","R_squared","edf","p_value","r_squared"
"1","13C tf  =  a x mean_growth_dw + b",48,NA,"3.61","1e-05","0.463177"
"2","15N tf  =  a x mean_growth_dw + b",48,NA,"1.75","<2e-16","0.749061"
"3","13C fldf  =  a x assimilation_efficiency_dw + b",48,NA,"1.72","1.9e-02","0.150729"
"4","15N fldf  =  a x assimilation_efficiency_dw + b",48,NA,"2.11","2.6e-06","0.46277"
"5","13C iaer  =  a x mean_mass_specific_intake_rate_fw + b",50,NA,"1","3.2e-03","0.150312"
"6","15N iaer  =  a x mean_mass_specific_intake_rate_fw + b",50,NA,"1.37","7.9e-01","-0.00861475"
