individual_ID,group_ID,treatment_ID,sex,food_provided_ww,food_provided_unit,bodymass_7th_instar_j0_ww,bodymass_7th_instar_j1_ww,bodymass_7th_instar_j2_ww,bodymass_7th_instar_j3_ww,bodymass_7th_instar_j3_dw,bodymass_7th_instar_j16_ww,bodymass_imago_ww,bodymass_imago_dw,bodymass_unit,tube_egestion_ID,empty_tube_egestion_mass,filled_tube_egestion_mass,tube_egestion_mass_unit,egestion_mass,egestion_mass_unit,tube_food_ID,empty_tube_food_mass,filled_tube_food_mass,tube_food_mass_unit,food_mass,food_mass_unit,seventh_instar_date,pre_pupa_date,pupa_date,first_collection_date,last_collection_date,number_collection_days,body_analysis,emergence,individual_removed,reason
99,25,3,,360,mg_ww/day,443.4,590.4,797.9,1000.6,,,,,mg,E-T3-G25-I99-CA,5564.7,5702,mg,,mg_dw,F-T3-G25-I99-CA,5549.4,,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
100,25,3,F,360,mg_ww/day,217.4,395.9,547.6,741.4,,321.6,198.1,65.7,mg,E-T3-G25-I100-EP,5568.3,5687.8,mg,,mg_dw,F-T3-G25-I100-EP,5532,5537.2,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
101,26,3,,360,mg_ww/day,339.6,514.3,725,939,,,,,mg,E-T3-G26-I101-CA,5546.8,5657.4,mg,,mg_dw,F-T3-G26-I101-CA,5565.9,,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
102,26,3,F,360,mg_ww/day,335.7,503.5,706.9,894,,351.5,215.6,76.4,mg,E-T3-G26-I102-EP,5557.1,5677.5,mg,,mg_dw,F-T3-G26-I102-EP,5564.4,,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
103,26,3,,360,mg_ww/day,375.3,496.2,705.9,519,,,,,mg,E-T3-G26-I103-CA,5555.4,5644,mg,,mg_dw,F-T3-G26-I103-CA,5529.9,,mg,,mg_dw,09/11/2021,12/11/2021,,10/11/2021,,,1,NA,,
104,26,3,M,360,mg_ww/day,346.6,486.5,669.3,871.9,,349.6,212.8,66.1,mg,E-T3-G26-I104-EP,5539.9,5670.5,mg,,mg_dw,F-T3-G26-I104-EP,5537,,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
105,27,4,,480,mg_ww/day,257.6,481.8,687.1,901.3,,,,,mg,E-T4-G27-I105-CA,5573.5,5747.6,mg,,mg_dw,F-T4-G27-I105-CA,5550.2,5561.8,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
106,27,4,M,480,mg_ww/day,281.5,498.8,696.3,527.9,,327.7,163.5,62.3,mg,E-T4-G27-I106-EP,5524.1,5648,mg,,mg_dw,F-T4-G27-I106-EP,5557.6,5566.4,mg,,mg_dw,09/11/2021,12/11/2021,15/11/2021,10/11/2021,,,0,1,,
107,27,4,,480,mg_ww/day,236.8,451.5,629.5,842.3,,,,,mg,E-T4-G27-I107-CA,5555.4,5746.6,mg,,mg_dw,F-T4-G27-I107-CA,5549.1,5559.7,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
108,27,4,F,480,mg_ww/day,418.2,604.1,861.1,540.7,,344.2,224.8,74.4,mg,E-T4-G27-I108-EP,5525.3,5648.2,mg,,mg_dw,F-T4-G27-I108-EP,5565.3,,mg,,mg_dw,09/11/2021,12/11/2021,15/11/2021,10/11/2021,,,0,1,,
109,28,4,,480,mg_ww/day,312.3,510.5,771.1,1020,,,,,mg,E-T4-G28-I109-CA,5536.5,5717.7,mg,,mg_dw,F-T4-G28-I109-CA,5549.6,5553.1,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
110,28,4,F,480,mg_ww/day,420.1,619.3,840,1034.9,,418.7,251.1,90.4,mg,E-T4-G28-I110-EP,5540.4,5732.4,mg,,mg_dw,F-T4-G28-I110-EP,5519.2,,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
111,28,4,,480,mg_ww/day,261.5,442.6,640.5,843.3,,,,,mg,E-T4-G28-I111-CA,5556.7,5738.6,mg,,mg_dw,F-T4-G28-I111-CA,5547.5,5572.7,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
112,28,4,M,480,mg_ww/day,304.9,512.9,678.6,834.1,,392,269,76.4,mg,E-T4-G28-I112-EP,5575.2,5752.8,mg,,mg_dw,F-T4-G28-I112-EP,5562.9,5566.2,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
113,29,5,,900,mg_ww/day,422.5,650.4,1126.2,597.3,,,,,mg,E-T5-G29-I113-CA,5569,5739.1,mg,,mg_dw,F-T5-G29-I113-CA,5557.1,5647.5,mg,,mg_dw,09/11/2021,12/11/2021,,10/11/2021,,,1,NA,,
114,29,5,F,900,mg_ww/day,364.5,615.7,1002.4,1296.7,,508.6,323.7,121.3,mg,E-T5-G29-I114-EP,5533.4,5860.4,mg,,mg_dw,F-T5-G29-I114-EP,5565.8,5643.4,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
115,29,5,,900,mg_ww/day,312.7,571.2,891.8,1160.5,,,,,mg,E-T5-G29-I115-CA,5545,5834.1,mg,,mg_dw,F-T5-G29-I115-CA,5567.1,5732.7,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
116,29,5,F,900,mg_ww/day,408.9,629.2,1072.5,1406.6,,502.9,383.6,116.3,mg,E-T5-G29-I116-EP,5543.7,5868.3,mg,,mg_dw,F-T5-G29-I116-EP,5547.1,5659.7,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
117,30,5,,900,mg_ww/day,364.2,632.4,1009.1,1310.2,,,,,mg,E-T5-G30-I117-CA,5573.2,5890.9,mg,,mg_dw,F-T5-G30-I117-CA,5546.2,5644.4,mg,,mg_dw,09/11/2021,,,10/11/2021,,,1,NA,,
118,30,5,M,900,mg_ww/day,260.9,452.6,761.5,1037.1,,412.2,224.2,83.7,mg,E-T5-G30-I118-EP,5559.6,5816.1,mg,,mg_dw,F-T5-G30-I118-EP,5557.3,5759.4,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
119,30,5,,900,mg_ww/day,287.1,537.8,854.1,542.6,,,,,mg,E-T5-G30-I119-CA,5570.6,5724.2,mg,,mg_dw,F-T5-G30-I119-CA,5573.1,5731.3,mg,,mg_dw,09/11/2021,12/11/2021,,10/11/2021,,,1,NA,,
120,30,5,M,900,mg_ww/day,311.1,554.5,938,1276.6,,452.6,322,99,mg,E-T5-G30-I120-EP,5545.8,5822,mg,,mg_dw,F-T5-G30-I120-EP,5548.3,5680.7,mg,,mg_dw,09/11/2021,,15/11/2021,10/11/2021,,,0,1,,
121,31,1,,120,mg_ww/day,396.7,449,485.1,533.7,78.1,,,,mg,E-T1-G31-I121-CA,5540.6,5586.4,mg,,mg_dw,F-T1-G31-I121-CA,5556.6,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
122,31,1,M,120,mg_ww/day,347.8,402.8,445.5,498.3,,234.7,88.1,28.1,mg,E-T1-G31-I122-EP,5554.2,5590,mg,,mg_dw,F-T1-G31-I122-EP,5540.4,,mg,,mg_dw,16/11/2021,,23/11/2021,17/11/2021,,,0,1,,
123,31,1,,120,mg_ww/day,491.7,545.7,575.4,587.4,94.3,,,,mg,E-T1-G31-I123-CA,5551.2,5588.5,mg,,mg_dw,F-T1-G31-I123-CA,5562.4,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
124,31,1,F,120,mg_ww/day,362.8,412.2,451.1,479,,232,138,41.8,mg,E-T1-G31-I124-EP,5515.9,5552.3,mg,,mg_dw,F-T1-G31-I124-EP,5554.3,,mg,,mg_dw,16/11/2021,,23/11/2021,17/11/2021,,,0,1,,
125,32,1,,120,mg_ww/day,319.3,351.4,387.2,421.2,65.1,,,,mg,E-T1-G32-I125-CA,5565,5612.1,mg,,mg_dw,F-T1-G32-I125-CA,5535.7,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
126,32,1,M,120,mg_ww/day,274.1,334.4,385.6,431.1,,219.6,81.1,26,mg,E-T1-G32-I126-EP,5535.8,5567.8,mg,,mg_dw,F-T1-G32-I126-EP,5554.7,,mg,,mg_dw,16/11/2021,,23/11/2021,17/11/2021,,,0,1,,
127,32,1,,120,mg_ww/day,303.7,348.8,385.7,425.2,63.5,,,,mg,E-T1-G32-I127-CA,5537.1,5577.2,mg,,mg_dw,F-T1-G32-I127-CA,5534.1,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
128,32,1,M,120,mg_ww/day,376.8,414.7,452.8,490.3,,254.6,132,37.9,mg,E-T1-G32-I128-EP,5551.8,5594.1,mg,,mg_dw,F-T1-G32-I128-EP,5552.3,,mg,,mg_dw,16/11/2021,,23/11/2021,17/11/2021,,,0,1,,
129,33,2,,240,mg_ww/day,458.8,568,688.2,507.6,91.8,,,,mg,E-T2-G33-I129-CA,5565.1,5618.6,mg,,mg_dw,F-T2-G33-I129-CA,5548.2,,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
130,33,2,F,240,mg_ww/day,311.9,411.3,519.1,615.8,,297.3,185.1,57,mg,E-T2-G33-I130-EP,5570.6,5650.5,mg,,mg_dw,F-T2-G33-I130-EP,5554,,mg,,mg_dw,16/11/2021,,23/11/2021,17/11/2021,,,0,1,,
131,33,2,,240,mg_ww/day,395.2,505.4,645.2,477.1,85.2,,,,mg,E-T2-G33-I131-CA,5557.1,5609.8,mg,,mg_dw,F-T2-G33-I131-CA,5538,,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
132,33,2,M,240,mg_ww/day,392.8,508.5,626.4,444.3,,286.6,158.3,51.4,mg,E-T2-G33-I132-EP,5546.9,5594.7,mg,,mg_dw,F-T2-G33-I132-EP,5542,,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
133,34,2,,240,mg_ww/day,408.1,530.8,672.5,463.1,86.5,,,,mg,E-T2-G34-I133-CA,5519.7,5576.7,mg,,mg_dw,F-T2-G34-I133-CA,5542.9,,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
134,34,2,M,240,mg_ww/day,416.8,515.9,636.5,482.9,,294.8,189.3,52.5,mg,E-T2-G34-I134-EP,5567.4,5621.9,mg,,mg_dw,F-T2-G34-I134-EP,5551.4,,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
135,34,2,,240,mg_ww/day,366.4,485,590.6,473.1,81.9,,,,mg,E-T2-G34-I135-CA,5540.1,5584.2,mg,,mg_dw,F-T2-G34-I135-CA,5578,,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
136,34,2,F,240,mg_ww/day,345.2,468.1,585.4,713.2,,312.5,221.9,62.1,mg,E-T2-G34-I136-EP,5540.2,5609.8,mg,,mg_dw,F-T2-G34-I136-EP,5539.4,,mg,,mg_dw,16/11/2021,,22/11/2021,17/11/2021,,,0,1,,
137,35,3,,360,mg_ww/day,371,525.9,748.9,910.8,148.4,,,,mg,E-T3-G35-I137-CA,5554.9,5674.3,mg,,mg_dw,F-T3-G35-I137-CA,5552.6,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
138,35,3,F,360,mg_ww/day,370.9,542.2,734.3,893.9,,366.7,281.8,82.4,mg,E-T3-G35-I138-EP,5540.9,5663.2,mg,,mg_dw,F-T3-G35-I138-EP,5563.5,,mg,,mg_dw,16/11/2021,,22/11/2021,17/11/2021,,,0,1,,
139,35,3,,360,mg_ww/day,373.4,517,732,582.5,99.6,,,,mg,E-T3-G35-I139-CA,5570.9,5658.2,mg,,mg_dw,F-T3-G35-I139-CA,5554.3,,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
140,35,3,M,360,mg_ww/day,390.1,527.5,741.4,564.5,,337,251.6,63,mg,E-T3-G35-I140-EP,5529.9,5612.1,mg,,mg_dw,F-T3-G35-I140-EP,5536.6,,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
141,36,3,,360,mg_ww/day,275.4,441.7,622.6,855.7,141.2,,,,mg,E-T3-G36-I141-CA,5561.9,5689,mg,,mg_dw,F-T3-G36-I141-CA,5555.4,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
142,36,3,M,360,mg_ww/day,327.3,476.1,655.9,879.7,,354.8,214.6,65.7,mg,E-T3-G36-I142-EP,5544.2,5676.5,mg,,mg_dw,F-T3-G36-I142-EP,5541.2,,mg,,mg_dw,16/11/2021,,22/11/2021,17/11/2021,,,0,1,,
143,36,3,,360,mg_ww/day,482.6,656,847.8,1018.3,159.2,,,,mg,E-T3-G36-I143-CA,5561.7,5687.5,mg,,mg_dw,F-T3-G36-I143-CA,5544.8,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
144,36,3,M,360,mg_ww/day,297.3,459,620.1,820.3,,351.3,189.2,66,mg,E-T3-G36-I144-EP,5552.8,5677.3,mg,,mg_dw,F-T3-G36-I144-EP,5559.4,,mg,,mg_dw,16/11/2021,,22/11/2021,17/11/2021,,,0,1,,
145,37,4,,480,mg_ww/day,436.2,637.7,919.4,663.1,131.4,,,,mg,E-T4-G37-I145-CA,5536.4,5648.9,mg,,mg_dw,F-T4-G37-I145-CA,5570.2,,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
146,37,4,M,480,mg_ww/day,387.8,566.3,717.1,523.5,,345.2,189.7,68.1,mg,E-T4-G37-I146-EP,5544.7,5695.9,mg,,mg_dw,F-T4-G37-I146-EP,5514.2,,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
147,37,4,,480,mg_ww/day,438.7,595.3,810.2,983.3,181.1,,,,mg,E-T4-G37-I147-CA,5565.8,5738.8,mg,,mg_dw,F-T4-G37-I147-CA,5562,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
148,37,4,F,480,mg_ww/day,404.5,598.6,867,589.5,,368.2,222.4,79.2,mg,E-T4-G37-I148-EP,5561.4,5673.3,mg,,mg_dw,F-T4-G37-I148-EP,5567.1,,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
149,38,4,,480,mg_ww/day,468.3,654.9,915.2,1127.4,190.2,,,,mg,E-T4-G38-I149-CA,5545,5710.5,mg,,mg_dw,F-T4-G38-I149-CA,5540.6,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
150,38,4,M,480,mg_ww/day,340.7,529.5,740.7,550.4,,352.8,171.8,62.2,mg,E-T4-G38-I150-EP,5550,5696.1,mg,,mg_dw,F-T4-G38-I150-EP,5557.3,5561.8,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
151,38,4,,480,mg_ww/day,320.8,537.6,724.7,955,165.1,,,,mg,E-T4-G38-I151-CA,5571.6,5748.2,mg,,mg_dw,F-T4-G38-I151-CA,5554.9,,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
152,38,4,M,480,mg_ww/day,352.3,569.9,774.2,569.6,,354.2,197.9,66.6,mg,E-T4-G38-I152-EP,5538.8,5677.8,mg,,mg_dw,F-T4-G38-I152-EP,5567.3,,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
153,39,5,,900,mg_ww/day,466.7,809.6,1194.8,841.6,160.1,,,,mg,E-T5-G39-I153-CA,5543.2,5752.7,mg,,mg_dw,F-T5-G39-I153-CA,5534.9,5583.2,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
154,39,5,F,900,mg_ww/day,529.9,817.1,1156.8,742.8,,482,329.5,116.1,mg,E-T5-G39-I154-EP,5562,5786.6,mg,,mg_dw,F-T5-G39-I154-EP,5543.2,5591.5,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
155,39,5,,900,mg_ww/day,449.6,763.4,1191.9,656,143.5,,,,mg,E-T5-G39-I155-CA,5538.1,5720.9,mg,,mg_dw,F-T5-G39-I155-CA,5561.3,5633.5,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
156,39,5,F,900,mg_ww/day,444.9,853.3,1194.2,770.5,,444.1,304.1,117.5,mg,E-T5-G39-I156-EP,5547.2,5781.8,mg,,mg_dw,F-T5-G39-I156-EP,5561.4,5575.6,mg,,mg_dw,16/11/2021,19/11/2021,22/11/2021,17/11/2021,,,0,1,,
157,40,5,,900,mg_ww/day,312.2,556.8,889.4,1163.3,198.6,,,,mg,E-T5-G40-I157-CA,5555.7,5865.5,mg,,mg_dw,F-T5-G40-I157-CA,5561,5678.2,mg,,mg_dw,16/11/2021,,,17/11/2021,,,1,NA,,
158,40,5,F,900,mg_ww/day,394.2,654.3,1106.7,1466.2,,516,321.6,120.5,mg,E-T5-G40-I158-EP,5534.1,5825.9,mg,,mg_dw,F-T5-G40-I158-EP,5569.6,5664.5,mg,,mg_dw,16/11/2021,,22/11/2021,17/11/2021,,,0,1,,
159,40,5,,900,mg_ww/day,308,572.4,920.6,587.8,115,,,,mg,E-T5-G40-I159-CA,5534.7,5694.7,mg,,mg_dw,F-T5-G40-I159-CA,5572.1,5701.7,mg,,mg_dw,16/11/2021,19/11/2021,,17/11/2021,,,1,NA,,
160,40,5,M,900,mg_ww/day,263.9,559.7,897,1046.3,,416.4,221.7,89.3,mg,E-T5-G40-I160-EP,5534.6,5810.2,mg,,mg_dw,F-T5-G40-I160-EP,5531.3,5711.8,mg,,mg_dw,16/11/2021,,22/11/2021,17/11/2021,,,0,1,,
161,41,1,,120,mg_ww/day,431,460.1,518.2,559.3,86.5,,,,mg,E-T1-G41-I161-CA,5573.4,5620.5,mg,,mg_dw,F-T1-G41-I161-CA,5554.3,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
162,41,1,M,120,mg_ww/day,377.6,426.6,491,550.4,,262.5,169.1,41.9,mg,E-T1-G41-I162-EP,5547.4,5576.9,mg,,mg_dw,F-T1-G41-I162-EP,5522.9,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
163,41,1,,120,mg_ww/day,453.7,479.8,556.2,597.5,99.5,,,,mg,E-T1-G41-I163-CA,5549.7,5585.4,mg,,mg_dw,F-T1-G41-I163-CA,5558.4,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
164,41,1,F,120,mg_ww/day,240.7,287,345.8,400.9,,179.5,140.7,29.6,mg,E-T1-G41-I164-EP,5527.5,5564.5,mg,,mg_dw,F-T1-G41-I164-EP,5575.1,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,0,,,
165,42,1,,120,mg_ww/day,352.4,412,449.6,488.7,72.9,,,,mg,E-T1-G42-I165-CA,5549.9,5594.3,mg,,mg_dw,F-T1-G42-I165-CA,5563.5,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
166,42,1,F,120,mg_ww/day,410,457.1,505,573.2,,246.5,131.2,39.2,mg,E-T1-G42-I166-EP,5540.3,5574.5,mg,,mg_dw,F-T1-G42-I166-EP,5537.2,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
167,42,1,,120,mg_ww/day,257.2,308.9,367.8,437.4,65.3,,,,mg,E-T1-G42-I167-CA,5553.9,5595,mg,,mg_dw,F-T1-G42-I167-CA,5526.3,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
168,42,1,F,120,mg_ww/day,365,401.1,453.2,511.7,,233.1,137.8,39.6,mg,E-T1-G42-I168-EP,5542.4,5580.9,mg,,mg_dw,F-T1-G42-I168-EP,5552.6,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
169,43,2,,240,mg_ww/day,387,496.2,641.2,765.4,127.5,,,,mg,E-T2-G43-I169-CA,5551.9,5626.1,mg,,mg_dw,F-T2-G43-I169-CA,5563.6,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
170,43,2,M,240,mg_ww/day,257.9,341.7,450,579.4,,282.1,145.5,47.8,mg,E-T2-G43-I170-EP,5552.9,5643.6,mg,,mg_dw,F-T2-G43-I170-EP,5534.9,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
171,43,2,,240,mg_ww/day,298.1,379.8,510.1,627.3,102.5,,,,mg,E-T2-G43-I171-CA,5559.3,5646.9,mg,,mg_dw,F-T2-G43-I171-CA,5557,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
172,43,2,F,240,mg_ww/day,379.7,456.3,573.6,708.4,,296.5,164.5,54.1,mg,E-T2-G43-I172-EP,5529.9,5615.6,mg,,mg_dw,F-T2-G43-I172-EP,5518.1,,mg,,mg_dw,23/11/2021,,01/12/2021,24/11/2021,,,0,,,
173,44,2,,240,mg_ww/day,435.3,508,663.4,802.5,129,,,,mg,E-T2-G44-I173-CA,5538.8,5619.2,mg,,mg_dw,F-T2-G44-I173-CA,5528.3,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
174,44,2,F,240,mg_ww/day,368.2,465,628.5,754.3,,319.9,178,56.9,mg,E-T2-G44-I174-EP,5564,5640.7,mg,,mg_dw,F-T2-G44-I174-EP,5537,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
175,44,2,,240,mg_ww/day,274.1,366.2,474.3,623.4,96.7,,,,mg,E-T2-G44-I175-CA,5552.5,5638.8,mg,,mg_dw,F-T2-G44-I175-CA,5549.7,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
176,44,2,F,240,mg_ww/day,335.6,426,596.2,721.8,,312.2,185.3,59,mg,E-T2-G44-I176-EP,5566,5642.9,mg,,mg_dw,F-T2-G44-I176-EP,5552.6,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
177,45,3,,360,mg_ww/day,470.7,602.1,748.8,847.3,140.8,,,,mg,E-T3-G45-I177-CA,5521,5661.9,mg,,mg_dw,F-T3-G45-I177-CA,5564.4,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
178,45,3,M,360,mg_ww/day,406.2,530.7,720.1,607.4,,326.7,171.7,60.3,mg,E-T3-G45-I178-EP,5550.4,5650,mg,,mg_dw,F-T3-G45-I178-EP,5543.9,,mg,,mg_dw,23/11/2021,26/11/2021,29/11/2021,24/11/2021,,,0,,,
179,45,3,,360,mg_ww/day,350,500.3,620.5,858.3,124.2,,,,mg,E-T3-G45-I179-CA,5530.1,5673.7,mg,,mg_dw,F-T3-G45-I179-CA,5554.6,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
180,45,3,F,360,mg_ww/day,445.6,577.5,783.4,596.1,,351.5,189.8,62.6,mg,E-T3-G45-I180-EP,5524.9,5613,mg,,mg_dw,F-T3-G45-I180-EP,5547.5,,mg,,mg_dw,23/11/2021,26/11/2021,29/11/2021,24/11/2021,,,0,,,
181,46,3,,360,mg_ww/day,251.1,390,544.6,733.2,113.1,,,,mg,E-T3-G46-I181-CA,5532.6,5658.2,mg,,mg_dw,F-T3-G46-I181-CA,5580,5594.9,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
182,46,3,M,360,mg_ww/day,302.3,462.6,595,798.4,,361.6,189.9,65.5,mg,E-T3-G46-I182-EP,5559.7,5698.6,mg,,mg_dw,F-T3-G46-I182-EP,5544.6,5549.7,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
183,46,3,,360,mg_ww/day,355.1,499.6,666.1,878.4,143.4,,,,mg,E-T3-G46-I183-CA,5564.6,5694.9,mg,,mg_dw,F-T3-G46-I183-CA,5543.3,,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
184,46,3,F,360,mg_ww/day,191.4,364.7,505.8,693.8,,321.9,181.1,62.5,mg,E-T3-G46-I184-EP,5547.8,5682.5,mg,,mg_dw,F-T3-G46-I184-EP,5544.2,5560.3,mg,,mg_dw,23/11/2021,,01/12/2021,24/11/2021,,,0,,,
185,47,4,,480,mg_ww/day,233.6,367.7,592,740.5,117.9,,,,mg,E-T4-G47-I185-CA,5541.3,5734.7,mg,,mg_dw,F-T4-G47-I185-CA,5573.7,5602.9,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
186,47,4,M,480,mg_ww/day,252.8,430.4,631.3,775.5,,339.8,193.6,67.3,mg,E-T4-G47-I186-EP,5523,5713.8,mg,,mg_dw,F-T4-G47-I186-EP,5536.4,5574.9,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
187,47,4,,480,mg_ww/day,352.5,545.2,736.7,608.3,107.9,,,,mg,E-T4-G47-I187-CA,5568.3,5701.2,mg,,mg_dw,F-T4-G47-I187-CA,5537.9,5552.5,mg,,mg_dw,23/11/2021,26/11/2021,,24/11/2021,,,1,NA,,
188,47,4,M,480,mg_ww/day,251.5,403.5,620.6,771.3,,377.2,149.4,62.4,mg,E-T4-G47-I188-EP,5541.5,5720.2,mg,,mg_dw,F-T4-G47-I188-EP,5558.2,5603,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
189,48,4,,480,mg_ww/day,207.5,400.9,582.1,787.2,122.1,,,,mg,E-T4-G48-I189-CA,5552.7,5726.6,mg,,mg_dw,F-T4-G48-I189-CA,5529.1,5576.8,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
190,48,4,F,480,mg_ww/day,426.2,613.4,779.5,1002.3,,420.1,259.6,89.6,mg,E-T4-G48-I190-EP,5546.5,5728.3,mg,,mg_dw,F-T4-G48-I190-EP,5540.2,,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
191,48,4,,480,mg_ww/day,260.4,458.7,681.9,837.7,177.1,,,,mg,E-T4-G48-I191-CA,5545.2,5744,mg,,mg_dw,F-T4-G48-I191-CA,5561.5,5585.6,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
192,48,4,M,480,mg_ww/day,273.3,431.6,664.2,850,,365.5,183.6,68.4,mg,E-T4-G48-I192-EP,5580.2,5758.7,mg,,mg_dw,F-T4-G48-I192-EP,5561.9,5595.6,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
193,49,5,,900,mg_ww/day,288.9,480.2,750.3,1048.5,157.5,,,,mg,E-T5-G49-I193-CA,5578.4,5809.4,mg,,mg_dw,F-T5-G49-I193-CA,5547.9,5784,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
194,49,5,M,900,mg_ww/day,270.7,476.1,725,984.7,,374.4,178.6,73.6,mg,E-T5-G49-I194-EP,5576.1,5800.8,mg,,mg_dw,F-T5-G49-I194-EP,5539.8,5797.1,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
195,49,5,,900,mg_ww/day,354.1,545.4,880,1286.8,211.1,,,,mg,E-T5-G49-I195-CA,5567.7,5839,mg,,mg_dw,F-T5-G49-I195-CA,5560.6,5718.1,mg,,mg_dw,23/11/2021,,,24/11/2021,,,1,NA,,
196,49,5,F,900,mg_ww/day,275.1,465.7,684.5,1010.2,,374.2,209.5,78.5,mg,E-T5-G49-I196-EP,5567.1,5791.9,mg,,mg_dw,F-T5-G49-I196-EP,5555.6,5818.9,mg,,mg_dw,23/11/2021,,30/11/2021,24/11/2021,,,0,,,
